locality,price
Lokeren,416812.2
Lombardsijde,401425.0
Lombise,420000.0
Lommel,368152.125
Loncin,346399.8
Londerzeel,598142.8571428572
Longlier,249000.0
Longueville,249000.0
Lontzen,249000.0
Lonzée,395000.0
Loonbeek,737500.0
Loppem,363000.0
Lot,459000.0
Louvain-la-Neuve,415250.0
Louveigné,422500.0
Lovendegem,445017.0
Loverval,252000.0
Lubbeek,815000.0
Luingne,283857.14285714284
Lummen,342125.0
Luttre,307666.6666666667
Léglise,348500.0
Maarkedal,439000.0
Maaseik,489000.0
Maasmechelen,368550.0
Machelen,426939.8
Macon,256454.33333333334
Macquenoise,383980.0
Maffle,490000.0
Maisières,185000.0
Maissin,192000.0
Maldegem,362000.0
Malderen,460000.0
Malle,490304.05
Malmedy,335355.10204081633
Malonne,406068.22222222225
Manage,251477.33333333334
Manhay,409666.6666666667
Marbais,304615.3846153846
Marche-en-Famenne,406830.4347826087
Marche-lez-Écaussinnes,275000.0
Marchienne-au-Pont,174058.75
Marchin,345834.6923076923
Marcinelle,189328.42857142858
Marcourt,99000.0
Mariakerke,449825.0
Mariembourg,147000.0
Marilles,225000.0
Marke,906625.0
Marquain,400000.0
Martelange,375333.3333333333
Masnuy-Saint-Pierre,425000.0
Massemen,636768.5
Massenhoven,695000.0
Matagne-la-Grande,205000.0
Maurage,281754.77777777775
Mazenzele,409000.0
Mazy,325000.0
Mechelen,439342.1052631579
Mechelen-aan-de-Maas,399000.0
Meeffe,179500.0
Meer,499000.0
Meerbeke,282000.0
Meerdonk,190000.0
Meerhout,350466.6666666667
Meerle,595000.0
Meise,630670.8571428572
Meix-devant-Virton,275000.0
Meix-le-Tige,445000.0
Meldert,485000.0
Melen,162000.0
Melle,394500.0
Mellet,227000.0
Mellier,220000.0
Menen,275329.1666666667
Merbes-le-Château,189000.0
Merchtem,492274.9142857143
Merdorp,231666.66666666666
Mere,274000.0
Merelbeke,585883.3333333334
Merksem,283046.0317460318
Merksplas,529000.0
Merlemont,275000.0
Messancy,418571.4285714286
Mettet,494138.73333333334
Meulebeke,376723.0
Meux,434333.3333333333
Michelbeke,436166.6666666667
Micheroux,215000.0
Middelkerke,243816.66666666666
Milmort,271330.0
Minderhout,349000.0
Modave,288987.54545454547
Moelingen,296666.6666666667
Moen,325000.0
Moerbeke,189000.0
Moerbeke-Waas,332700.0
Moha,115000.0
Moignelée,174000.0
Mol,380015.76666666666
Molenbaix,239000.0
Molenbeek-Wersbeek,389000.0
Molenbeersel,798000.0
Molenstede,305000.0
Momignies,367633.3333333333
Monceau-sur-Sambre,219047.0
Mons,283857.14285714284
Mons-Lez-Liège,165000.0
Monstreux,699000.0
Mont,729500.0
Mont-Saint-André,585000.0
Mont-Saint-Aubert,719333.3333333334
Mont-Saint-Guibert,395384.53846153844
Mont-Sainte-Aldegonde,409070.0
Mont-de-l'Enclus,472750.0
Mont-sur-Marchienne,250930.48
Montegnée,206500.0
Montignies-sur-Roc,160000.0
Montignies-sur-Sambre,178222.07407407407
Montigny-le-Tilleul,263668.53846153844
Moorsel,302000.0
Moorsele,495000.0
Moorslede,150000.0
Moregem,395000.0
Morialmé,127500.0
Morkhoven,487000.0
Morlanwelz,273363.63636363635
Morlanwelz-Mariemont,165000.0
Mortroux,432500.0
Mortsel,318568.9655172414
Mourcourt,356746.5714285714
Mouscron,271111.0
Moustier-Sur-Sambre,247500.0
Mouzaive,640000.0
Muizen,434000.0
Munsterbilzen,217500.0
Musson,365000.0
Mussy-la-Ville,600000.0
Méan,472500.0
Mélin,847500.0
Naast,352500.0
Nalinnes,431000.0
Namur,311172.4137931034
Namêche,165000.0
Nandrin,488436.8333333333
Naninne,407394.0
Nassogne,546800.0
Nazareth,628008.5
Neder-Over-Heembeek,382060.8125
Nederhasselt,464000.0
Neerheylissem,387000.0
Neerijse,725000.0
Neeroeteren,553500.0
Neerpelt,352000.0
Neigem,348000.0
Nessonvaux,176000.0
Nettinne,424438.3333333333
Neufchâteau,254571.42857142858
Neufmaison,301950.0
Neufvilles,420759.5
Neupré,493440.0
Neuville,269250.0
Neuville-en-Condroz,480833.3333333333
Nevele,416425.0
Niel,338456.2
Niel-bij-As,339000.0
Nieuwenhove,335000.0
Nieuwerkerken,309000.0
Nieuwkerke,604500.0
Nieuwkerken-Waas,284000.0
Nieuwpoort,329241.9032258064
Nijlen,439011.95454545453
Nil-Saint-Vincent-Saint-Martin,466333.3333333333
Nimy,309333.3333333333
Ninove,445266.92307692306
Nismes,225000.0
Nivelles,336412.5
Nodebais,374000.0
Noduwez,195000.0
Noiseux,345000.0
Noorderwijk,413113.45454545453
Nossegem,523000.0
Nothomb,230000.0
Noville-les-Bois,265000.0
Nukerke,800000.0
Néchin,263777.77777777775
Obourg,364250.0
Ocquier,292500.0
Oekene,279000.0
Oelegem,494333.3333333333
Oetingen,395796.0
Oevel,271166.6666666667
Offagne,160000.0
Ogy,422229.0
Ohey,350786.8888888889
Oignies-En-Thiérache,279000.0
Oisquercq,451666.6666666667
Olen,522107.14285714284
Oleye,483412.3333333333
Olmen,399000.0
Olne,414666.6666666667
Olsene,473000.0
On,159000.0
Onnezies,110000.0
Onze-Lieve-Vrouw-Waver,603002.6666666666
Ooigem,346875.0
Oordegem,640000.0
Oostakker,381842.1052631579
Oostduinkerke,394234.5
Oostende,320230.28985507245
Oosterzele,734291.25
Oostkamp,450850.0
Oostmalle,407400.0
Oostnieuwkerke,395400.0
Opglabbeek,442000.0
Opgrimbie,225000.0
Ophain-Bois-Seigneur-Isaac,866000.0
Opwijk,450231.0
Orcq,549000.0
Oreye,388509.5
Ormeignies,290000.0
Orp-Jauche,436786.23529411765
Orp-le-Grand,387108.1304347826
Orroir,277500.0
Ortho,95000.0
Ostiches,250000.0
Otegem,362000.0
Ottignies,326971.77777777775
Ottignies-Louvain-la-Neuve,471500.0
Oud-Heverlee,513666.6666666667
Oud-Turnhout,346692.3076923077
Oudenaarde,526893.75
Oudenaken,299000.0
Oudenburg,510000.0
Oudergem,565415.7303370787
Oudsbergen,397000.0
Ouffet,394053.5
Ougrée,170117.64705882352
Oupeye,299376.1904761905
Outer,584000.0
Ouwegem,486089.0
Overboelare,389000.0
Overijse,704353.8461538461
Overpelt,374000.0
PHILIPPEVILLE,306435.55555555556
Paal,477857.14285714284
Paliseul,229250.0
Parike,532695.0
Passendale,205000.0
Pecq,396487.5
Peer,449000.0
Pellaines,549000.0
Pellenberg,824500.0
Pelt,362400.0
Pepingen,448334.5
Pepinster,222111.11111111112
Perwez,256625.0
Petit-Enghien,882500.0
Petit-Hallet,125000.0
Petit-Rechain,423951.4
Petit-Roeulx-lez-Braine,545000.0
Petit-Thier,229000.0
Pipaix,187000.0
Pittem,364377.05263157893
Piéton,159000.0
Piétrain,980000.0
Plainevaux,420500.0
Ploegsteert,524000.0
Plombières,158000.0
Poederlee,336250.0
Pollare,499000.0
Pommeroeul,614750.0
Pont-de-Loup,226999.33333333334
Pont-à-Celles,311306.5652173913
Poperinge,179500.0
Poppel,228000.0
Presles,344500.0
Profondeville,492800.0
Pry,700000.0
Pulderbos,449000.0
Putte,489302.63636363635
Puurs,605952.8333333334
Puurs-Sint-Amands,340000.0
Pâturages,173333.33333333334
Péronnes,299666.6666666667
Péruwelz,209859.875
Quaregnon,173444.44444444444
Quenast,195000.0
Queue-du-Bois,357000.0
Quevaucamps,182500.0
Quiévrain,179875.0
Quévy,443933.0
Rachecourt,137000.0
Ramegnies,389186.0
Ramegnies-Chin,192500.0
Ramillies,362750.0
Ramillies-Offus,325000.0
Ramsel,165000.0
Ramskapelle,895000.0
Rance,369296.3333333333
Ransart,244707.38095238095
Ranst,457201.8888888889
Ravels,392187.5
Rebecq,425270.8333333333
Recht,284333.3333333333
Rekem,722666.6666666666
Rekkem,272125.0
Relegem,494772.7272727273
Remersdaal,420000.0
Remicourt,252666.66666666666
Rendeux,498000.0
