region,code,municipality
Walloon Region,6870,Saint-Hubert
Flemish Region,9042,Gand
Walloon Region,7061,Soignies
Walloon Region,7322,Bernissart
Flemish Region,9401,Ninove
Flemish Region,9470,Denderleeuw
Flemish Region,9961,Assenede
Flemish Region,9971,Kaprijke
Walloon Region,4520,Wanze
Walloon Region,5644,Mettet
Walloon Region,6221,Fleurus
Walloon Region,6238,Pont-à-Celles
Walloon Region,6680,Sainte-Ode
Flemish Region,8710,Wielsbeke
Flemish Region,9473,Denderleeuw
Flemish Region,9660,Brakel
Walloon Region,7012,Mons
Walloon Region,7190,Ecaussinnes
Walloon Region,7504,Tournai
Walloon Region,7521,Tournai
Flemish Region,9070,Destelbergen
Flemish Region,9661,Brakel
Flemish Region,9880,Aalter
Flemish Region,9990,Maldegem
Brussels-Capital Region,1060,Saint-Gilles
Flemish Region,1501,Hal
Flemish Region,1601,Sint-Pieters-Leeuw
Flemish Region,2360,Oud-Turnhout
Flemish Region,2550,Kontich
Flemish Region,2600,Anvers
Flemish Region,2890,Puurs-Sint-Amands
Flemish Region,3460,Bekkevoort
Flemish Region,3545,Halen
Flemish Region,3850,Nieuwerkerken
Walloon Region,4257,Berloz
Walloon Region,4300,Waremme
Walloon Region,4340,Awans
Walloon Region,4342,Awans
Walloon Region,4632,Soumagne
Walloon Region,4840,Welkenraedt
Walloon Region,4970,Stavelot
Walloon Region,4990,Lierneux
Walloon Region,5080,La Bruyère
Walloon Region,5503,Dinant
Walloon Region,5520,Onhaye
Walloon Region,5563,Houyet
Flemish Region,8501,Courtrai
Flemish Region,8760,Tielt
Flemish Region,1742,Ternat
Flemish Region,3950,Bocholt
Walloon Region,4710,Lontzen
Walloon Region,4900,Spa
Walloon Region,5000,Namur
Walloon Region,6182,Courcelles
Walloon Region,6280,Gerpinnes
Walloon Region,6533,Thuin
Walloon Region,6536,Thuin
Walloon Region,6660,Houffalize
Walloon Region,6666,Houffalize
Walloon Region,6687,Bastogne
Walloon Region,6791,Aubange
Walloon Region,6792,Aubange
Walloon Region,6952,Nassogne
Walloon Region,7090,Braine-le-Comte
Flemish Region,9140,Tamise
Flemish Region,9451,Haaltert
Flemish Region,9980,Sint-Laureins
Brussels-Capital Region,1070,Anderlecht
Walloon Region,1404,Nivelles
Walloon Region,1457,Walhain
Flemish Region,1541,Pajottegem
Walloon Region,5300,Andenne
Flemish Region,2970,Schilde
Flemish Region,3140,Keerbergen
Walloon Region,6760,Virton
Walloon Region,6980,La Roche-en-Ardenne
Walloon Region,7050,Jurbise
Walloon Region,7134,Binche
Walloon Region,7331,Saint-Ghislain
Walloon Region,7600,Péruwelz
Walloon Region,7623,Brunehaut
Walloon Region,7730,Estaimpuis
Walloon Region,4650,Herve
Walloon Region,7862,Lessines
Flemish Region,2861,Sint-Katelijne-Waver
Flemish Region,3051,Oud-Heverlee
Walloon Region,4101,Seraing
Walloon Region,4261,Braives
Walloon Region,4630,Soumagne
Walloon Region,4651,Herve
Walloon Region,4654,Herve
Walloon Region,5020,Namur
Walloon Region,5150,Floreffe
Walloon Region,5352,Ohey
Walloon Region,5362,Hamois
Walloon Region,5576,Beauraing
Walloon Region,5620,Florennes
Walloon Region,6001,Charleroi
Walloon Region,6020,Charleroi
Walloon Region,6542,Lobbes
Walloon Region,6567,Merbes-le-Château
Walloon Region,6686,Bastogne
Walloon Region,6810,Chiny
Walloon Region,6812,Chiny
Walloon Region,6836,Bouillon
Walloon Region,6982,La Roche-en-Ardenne
Walloon Region,7333,Saint-Ghislain
Walloon Region,7801,Ath
Walloon Region,7863,Lessines
Walloon Region,7900,Leuze-en-Hainaut
Walloon Region,7903,Leuze-en-Hainaut
Flemish Region,8400,Ostende
Flemish Region,8970,Poperinge
Flemish Region,9255,Buggenhout
Flemish Region,9572,Lierde
Flemish Region,9931,Lievegem
Flemish Region,1620,Drogenbos
Walloon Region,4162,Anthisnes
