municipality,cords
Heuvelland,"50.775502208, 2.830312206"
Saint-Nicolas,"51.164716288, 4.108528187"
Laarne,"51.042424066, 3.884207055"
Mons,"50.452418964, 3.971936191"
Ninove,"50.826039806, 4.004807241"
Sint-Lievens-Houtem,"50.931014481, 3.875850023"
Kruisem,"50.908063126, 3.560939232"
Sint-Laureins,"51.259960899, 3.580199925"
Mont-de-l’Enclus,"50.738133415, 3.504557197"
Ath,"50.639365214, 3.772895473"
Nivelles,"50.596982026, 4.332197434"
Anvers,"51.260784962, 4.369487632"
Malines,"51.028657551, 4.45023195"
Herent,"50.910609177, 4.646557362"
Kortenberg,"50.889934982, 4.568809557"
Aarschot,"50.988975797, 4.864608608"
Profondeville,"50.375205017, 4.828674857"
Houyet,"50.186053478, 5.002873906"
Thuin,"50.324244976, 4.310791502"
Zandhoven,"51.211297327, 4.679232437"
Laakdal,"51.080954585, 5.005972022"
Koekelberg,"50.862991317, 4.324087137"
Wuustwezel,"51.394046825, 4.600374465"
Louvain,"50.882186328, 4.705914008"
Glabbeek,"50.867015368, 4.949438367"
Seraing,"50.589127814, 5.515828554"
Ans,"50.682772346, 5.506110213"
Boechout,"51.165678464, 4.516877582"
Visé,"50.738364175, 5.68746133"
Fléron,"50.615175992, 5.684010836"
Blegny,"50.674482778, 5.708907533"
Verviers,"50.584980879, 5.866794038"
Dison,"50.613975051, 5.87450227"
Gembloux,"50.554301604, 4.709109884"
Namur,"50.46044996, 4.872576802"
Namur,"50.46044996, 4.872576802"
Ohey,"50.435761668, 5.166379867"
Somme-Leuze,"50.299649958, 5.318782157"
Hastière,"50.194993776, 4.825736667"
Hastière,"50.194993776, 4.825736667"
Vresse-sur-Semois,"49.850292298, 4.915782499"
Fleurus,"50.486372527, 4.539207185"
Lobbes,"50.355794308, 4.241789981"
Fauvillers,"49.876995197, 5.696594167"
Froidchapelle,"50.165217861, 4.347490001"
Lobbes,"50.355794308, 4.241789981"
Momignies,"50.002547851, 4.217491017"
Momignies,"50.002547851, 4.217491017"
Houffalize,"50.144392076, 5.770941883"
Péruwelz,"50.529458314, 3.563869138"
Rumes,"50.54448947, 3.319812614"
Gouvy,"50.192576392, 5.911460771"
Ath,"50.639365214, 3.772895473"
Avelgem,"50.777645366, 3.453710456"
Waregem,"50.880617044, 3.402499145"
Meix-devant-Virton,"49.60366296, 5.469959989"
Gand,"51.074461757, 3.725529268"
Hamme,"51.07808371, 4.139850515"
Bouillon,"49.805989674, 5.083195503"
Kruisem,"50.908063126, 3.560939232"
Saint-Ghislain,"50.487265226, 3.800940866"
Ypres,"50.854338205, 2.866468935"
Langemark-Poelkapelle,"50.915932859, 2.929376721"
Wervik,"50.810175279, 3.056538143"
Zonnebeke,"50.866510022, 3.003644617"
Herzele,"50.870434469, 3.892462656"
Lierde,"50.805475241, 3.836445719"
Kluisbergen,"50.779686243, 3.530104234"
Deinze,"51.017757976, 3.531612364"
Incourt,"50.699105939, 4.781475214"
Meise,"50.961140928, 4.315650953"
Zaventem,"50.871257881, 4.486517478"
Grobbendonk,"51.179780864, 4.73912364"
Berlaar,"51.107157543, 4.656142973"
Anvers,"51.260784962, 4.369487632"
Oud-Heverlee,"50.820023916, 4.686914871"
Herck-la-Ville,"50.937355477, 5.177773809"
Beringen,"51.065468341, 5.236065884"
Diepenbeek,"50.911483803, 5.417427167"
La Hulpe,"50.736296058, 4.464834515"
Orp-Jauche,"50.689909412, 4.963291721"
Pepingen,"50.744232472, 4.147628386"
Ternat,"50.867836796, 4.160230883"
Ternat,"50.867836796, 4.160230883"
Opwijk,"50.962478264, 4.180776997"
Affligem,"50.90417562, 4.11570946"
Zemst,"50.97890854, 4.458091114"
Ravels,"51.414917241, 5.025960546"
Baerle-Duc,"51.40477846, 4.891337809"
Lint,"51.12769608, 4.497809758"
Sint-Katelijne-Waver,"51.062403337, 4.536313746"
Bertem,"50.853832599, 4.609714336"
Tielt-Winge,"50.923376631, 4.896548809"
Fourons,"50.745325166, 5.822668977"
Bourg-Léopold,"51.11741408, 5.250472438"
Peer,"51.128432378, 5.461588055"
Liège,"50.631779266, 5.590470487"
Herstal,"50.681470049, 5.606506035"
Chaudfontaine,"50.581446589, 5.633738454"
Neupré,"50.544064996, 5.488057954"
Burdinne,"50.582597225, 5.09950245"
Ans,"50.682772346, 5.506110213"
Visé,"50.738364175, 5.68746133"
Dalhem,"50.720734234, 5.759037857"
Eupen,"50.609995684, 6.125507715"
La Calamine,"50.717495937, 6.023433088"
Nivelles,"50.596982026, 4.332197434"
Onhaye,"50.260237313, 4.812226539"
Hal,"50.726394595, 4.236975532"
Beauraing,"50.093132367, 4.952605842"
Liedekerke,"50.866518326, 4.093072244"
Grimbergen,"50.944676451, 4.376555185"
Anvers,"51.260784962, 4.369487632"
Bouillon,"49.805989674, 5.083195503"
Vorselaar,"51.217661111, 4.772897183"
Paliseul,"49.907731459, 5.136925044"
Lierde,"50.805475241, 3.836445719"
Assenede,"51.227134451, 3.714851746"
Mont-Saint-Guibert,"50.63734089, 4.623265786"
Genappe,"50.610166243, 4.456118695"
Beersel,"50.750400221, 4.30185159"
